Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Care Worker for Outpatient Nursing Service,Home-Based Personal Care Workers (5322),5322,532,53,Home-based Personal Care Workers,Berlin,A & S Nachbarschaftspflege Schipkau GmbH,Outpatient & Ambulatory Care,2026-06-10,Part-time,,"Performs body-related care measures and supports clients with daily living and household tasks in an outpatient/home-care setting, including in shared housing arrangements. Acts as contact person for relatives, physicians, and legal guardians, and documents care activities digitally.",Ideally some prior care experience; enjoyment of working with people; reliability and sense of responsibility; teamwork orientation; driver's licence class B advantageous but not mandatory; basic knowledge of personal and elderly care and outpatient/mobile care.,Warm and family-like team atmosphere; room for own ideas; monthly employee bonus (Pluxee); referral bonus; employer-funded pension; on-call supplements.,On-site,https://www.stepstone.de/stellenangebote--Pflegekraft-m-w-d-in-Voll-oder-Teilzeit-fuer-unseren-ambulanten-Pflegedienst-in-Berlin-Lichtenberg-Berlin-A-S-Nachbarschaftspflege-Schipkau-GmbH--14133617-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Residential & Long-Term Care,,job-383,382
Medical Assistant – Blood Donation,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Zentrum für Transfusionsmedizin und Zelltherapie Berlin gemeinnützige GmbH,Medical Services & Industry,2026-06-10,Part-time,,"Manages the intake of whole-blood and apheresis donors using the facility's software, operates cell separators, performs venipuncture, monitors blood collection, and processes, stores, and labels blood products in accordance with SOPs. Recognises and responds to respiratory or circulatory emergencies.","Completed training as MFA, Arzthelfer/in, nursing professional, or comparable medical qualification; venipuncture experience desirable; proficiency with standard software; technical aptitude for medical devices; friendly and professional manner.","Up to €1,500 welcome bonus for qualified specialists (paid in three instalments); attractive tariff-based remuneration including annual bonus, profit-sharing, and shift supplements; 30 days annual leave plus additional leave for shift work.",On-site,https://www.stepstone.de/stellenangebote--MFA-Medizinische-Fachangestellte-Blutspende-m-w-d-Berlin-Berlin-Zentrum-fuer-Transfusionsmedizin-und-Zelltherapie-Berlin-gemeinnuetzige-GmbH--14062165-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"n Notfälle bei Atem oder Kreislauf sofort und handeln geistesgegenwärtig Profil Abgeschlossene Ausbildung als MFA, Arzthelfer*in, Pflegefachkraft oder eine vergleichbare medizinische Au | 500 € Prämie für examinierte Fachkräfte (500 € bei Start / 500 € nach Probezeit / 500 € nach einem Jahr) At | kennen Notfälle bei Atem oder Kreislauf sofort und handeln geistesgegenwärtig • Abgeschlossene Ausbildung als MFA, Arzthelfer*in, Pflegefachkraft oder eine vergleichbare medizinische Au",,Hospitals & Acute Care,https://www.stepstone.de/cmp/de/zentrum-f%c3%bcr-transfusionsmedizin-und-zelltherapie-berlin-gemeinn%c3%bctzige-gmbh-139679/jobs,job-384,383
Specialist Worker in Supported Living (Disability Services),Personal Care Workers in Health Services NEC (5329),5329,532,53,Personal Care Workers in Health Services Not Elsewhere Classified,Berlin,Verein für Berliner Stadtmission,Long-term Care & Social Services,2026-06-10,Part-time,,"Provides pedagogical and care-based support and assistance to residents in a special supported-living facility for people with disabilities, including documenting participation services, individual relationship care, and administrative and household tasks. Works in a two-shift system.","Completed training in remedial education, therapeutic care, childcare, elderly care, nursing, or as a qualified nurse/sick nurse; creativity and empathy; teamwork; reliability; identification with the organisation's mission statement; enhanced knowledge required.","Family-like working atmosphere; individual shift-plan consideration; regular supervision, staff days, and team events; 30 days annual leave (5-day week); tariff pay per AVR DWBO West EG 7 including shift supplement and stand-in bonus; child allowance.",On-site,https://www.stepstone.de/stellenangebote--Fachkraft-in-der-Eingliederungshilfe-besondere-Wohnform-Rahnsdorf-m-w-d-Berlin-Verein-fuer-Berliner-Stadtmission--14137909-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"ung von Teilhabeplanung - Arbeit im 2-Schicht-System Ihr Profil Ihr Profil- ein abgeschlossene Ausbildung in folgenden Bereichen: Heilpädagogik, Heilerziehungpflege, Erzieher:in, Altenp | n - Erstellung von Teilhabeplanung - Arbeit im 2-Schicht-System Ihr Profil- ein abgeschlossene Ausbildung in folgenden Bereichen: Heilpädagogik, Heilerziehungpflege, Erzieher:in, Altenp",,Other Healthcare Providers,,job-385,384
Qualified Nursing Professional (Health and Nursing Care),Nursing Professionals (2221),2221,222,22,Nursing Professionals,Not specified,ADV Rehabilitation und Integration gGmbH - Fachklinik Briese,Rehabilitation & Mental Health,2026-06-10,Part-time,,"Provides individual patient care and treatment, including medication and infusion administration, wound care, documentation of nursing measures and patient status, and assistance with medical examinations in a rehabilitation clinic setting.","Qualified nursing professional (Pflegefachkraft); strong social, empathy, and communication skills; sense of responsibility and reliability; ability to work in a multiprofessional team.",30 days annual leave; permanent contract; remuneration aligned with TV-L; qualified multiprofessional team; green workplace location with S-Bahn access 30 minutes from Berlin city centre; regular supervision.,On-site,https://www.stepstone.de/stellenangebote--Examinierte-Pflegefachkraft-w-m-d-Pflegefachmann-frau-Gesundheits-und-Krankenpflege-Birkenwerder-ADV-Rehabilitation-und-Integration-gGmbH-Fachklinik-Briese--14132908-inline.html,HEALTHCARE,Birkenwerder,2026-06-19,,,,,"Wir suchen zum nächstmöglichen Zeitpunkt eine: Examinierte Pflegefachkraft w/m/d Voll- oder Teilzeit Ihre Aufgaben Pflege und Betreuung v | Ihr Profil Ihr Profil:- sie sind examinierte Pflegefachkraft - Haben eine ausgeprägte Sozial-, Empathie und Kommunikationsk | • Assistenz bei ärztlichen Untersuchungen und Eingriffen Ihr Profil:- sie sind examinierte Pflegefachkraft - Haben eine ausgeprägte Sozial-, Empathie und Kommunikationsk",,Mental Health & Rehabilitation,,job-386,385
Nursing Professional or Medical-Technical Assistant for Functional Diagnostics (Cardiac Catheter Lab),Medical Imaging & Therapeutic Equipment Technicians (3211),3211,321,32,Medical Imaging and Therapeutic Equipment Technicians,Berlin,Vivantes Klinikum Am Urban,Hospitals & Acute Care,2026-06-10,Full-time,,"Assists with invasive cardiac diagnostics and therapy in a cardiac catheterisation laboratory, including electrophysiological studies, ablation procedures, and pacemaker/ICD/CRT implantations, as well as non-invasive functional diagnostics, patient preparation and aftercare, on-call duties, documentation, and quality assurance.","Qualification as nursing professional (Pflegefachfrau/Pflegefachmann, Gesundheits- und Krankenpfleger/in, paediatric nurse, elderly care nurse) or Medical-Technical Assistant for Functional Diagnostics (MTA-F); experience in cardiac catheterisation or electrophysiology advantageous; proficiency with IT applications.",Structured onboarding; attractive remuneration per TVöD; occupational pension (VBL); subsidised additional pension; CNE digital continuing education platform; convenient transport links; staff parking; occupational health services.,On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-bzw-Medizinisch-technischer-Assistentin-fuer-Funktionsdiagnostik-MTA-F-Berlin-Kreuzberg-Vivantes-Klinikum-Am-Urban--14060783-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"EG 9a TVöD, je nach Qualifikation Extras: sehr gute Fort- und Weiterbildungsmöglichkeiten Einsatzort: Vivantes Kl | ng bei Qualitätssicherung und Materialmanagement Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | on und Unterstützung bei Qualitätssicherung und Materialmanagement • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/vivantes-klinikum-am-urban-78651/jobs,job-387,386
Medical Assistant (Paediatric Practice),Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Dr. med. Andrea Jobst Kinderheilkunde und Jugendmedizin,Outpatient & Ambulatory Care,2026-06-10,Part-time,,"Supports a paediatric and adolescent medicine practice with patient reception, assistance during medical examinations, laboratory work including blood draws, appointment management, and administrative documentation.","Qualified MFA (medical assistant); prior knowledge in paediatrics, pulmonology, or allergology desirable but not required; practice management and patient care skills; teamwork and organisational ability; good IT skills including practice software.",Position in a very friendly and motivated team; above-tariff pay; participation in continuing education encouraged and supported.,On-site,https://www.stepstone.de/stellenangebote--Sehr-nettes-Team-sucht-MFA-m-w-d-Berlin-Dr-med-Andrea-Jobst-Kinderheilkunde-und-Jugendmedizin--14132898-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Mental Health & Rehabilitation,,job-388,387
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Käthe-Dorsch-Haus,Long-term Care & Social Services,2026-06-10,Full-time,,"Carries out treatment nursing, steers care processes, leads care documentation, monitors residents' health status, ensures care quality, and coordinates care provision and interdisciplinary communication in a residential care facility.","Qualified as Pflegefachfrau/Pflegefachmann, Altenpfleger/in, Gesundheits- und Krankenpfleger/in, Gesundheits- und Kinderkrankenpfleger/in, or nursing professional with a bachelor's degree.",Above-average shift supplements; 30 days annual leave; monthly tax-free health bonus; stand-in bonus; preferred shift scheduling; catering discounts; further training opportunities; occupational pension; works council; occupational health physician; attractive performance bonuses.,On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-Berlin-Kaethe-Dorsch-Haus--13623668-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,und Kinderkrankenpfleger/in Krankenschwester/ Krankenpfleger Pflegefachperson (Bachelor) Wir bieten Überdurchschnittliche Schichtzuschläge 30 Tage Urlaub Monatl | • Pflegefachperson (Bachelor) • Überdurchschnittliche Schichtzuschläge,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/k%c3%a4the-dorsch-haus-313581/jobs,job-389,388
Nursing Professional – Internal Medicine,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Sana Klinikum Lichtenberg,Hospitals & Acute Care,2026-06-10,Full-time,,"Delivers holistic, person-centred nursing care to patients on an internal medicine ward, including documentation, preparation and aftercare for diagnostic and therapeutic procedures, and participation in ward organisational processes.","Completed training as Gesundheits- und Krankenpfleger/in or Altenpfleger/in; initiative, teamwork, engagement, and reliable working style; willingness to participate in specialist continuing education.","Base salary €3,475–€4,249 plus annual performance-related pay; €350 rotating-shift supplement plus up to €300 additional in the LohnPlus package; individual training and development opportunities.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-Innere-Medizin-Berlin-Lichtenberg-Sana-Klinikum-Lichtenberg--14005029-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"mit allen angrenzenden Berufsgruppen zusammen Dein Profil Du verfügst über eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger oder Altenpfleger Eigeninitiative, Teamfähi | eam sowie mit allen angrenzenden Berufsgruppen zusammen • Du verfügst über eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger oder Altenpfleger",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/sana-klinikum-lichtenberg-177735/jobs,job-390,389
Team Leader Senior Care Home Helmut-Böttcher-Haus,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,Sozialdienste der Volkssolidarität Berlin gGmbH,Long-term Care & Social Services,2026-06-10,Full-time,,"Leads and coordinates daily operations of a residential care unit, serving as the central contact for residents, relatives, physicians, trainees, and external service providers. Responsibilities include shift scheduling, staff management, quality development, and advancing the care and support concept.","Completed training as a qualified nursing professional (Pflegefachkraft, Altenpfleger, or Gesundheits-/Krankenpfleger); ideally some first leadership experience in inpatient care; strong organisational skills, sense of responsibility, reliability, assertiveness, empathy, and interest in business and nursing topics.","Salary up to €4,511.77/month (from 01.01.2026) per collective agreement (PTG) for 39 hours/week; initially fixed-term contract with prospect of continued employment; annual bonus; public holiday supplements; further allowances.",On-site,https://www.stepstone.de/stellenangebote--Teamleitung-m-w-d-Seniorenheim-Helmut-Boettcher-Haus-Berlin-Sozialdienste-der-Volkssolidaritaet-Berlin-gGmbH--13475306-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,gerischer Maßnahmen sowie Begleitung von Visiten Das wünschen wir uns von Ihnen Abgeschlossene Ausbildung als Pflegefachkraft / Altenpfleger / Gesundheitspfleger / Krankenpfleger (m/w/d | ng grund- und behandlungspflegerischer Maßnahmen sowie Begleitung von Visiten • Abgeschlossene Ausbildung als Pflegefachkraft / Altenpfleger / Gesundheitspfleger / Krankenpfleger (m/w/d,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/sozialdienste-der-volkssolidarit%c3%a4t-berlin-ggmbh-100258/jobs,job-391,390
Nursing Professional as Residential Unit Lead,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,PARITÄTISCHES Seniorenwohnen gGmbH,Long-term Care & Social Services,2026-06-10,Full-time,,"Leads and develops the nursing team within a senior living residential unit, creating a motivating work environment while managing shift planning, staff deployment coordination, and quality assurance of care processes.","Completed training as a qualified nursing professional (Pflegefachkraft, Altenpfleger/in, or Krankenpfleger/in); strong professional and social competence; decisive and assertive; enjoys teamwork.","Salary between €4,556.00 and €4,647.13/month per PTG collective agreement for 39 hours/week plus allowances; annual bonus; 30 days annual leave; functional allowances for specialist expertise.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-als-Wohnbereichsleitung-m-w-d-Seniorenwohnen-Berlin-PARITAETISCHES-Seniorenwohnen-gGmbH--13476046-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,d -sicherung in Ihrem Wohnbereich Das wünschen wir uns von Ihnen Ausbildung zur examinierten Pflegefachkraft / Altenpfleger / Altenpflegerin / Krankenpfleger / Krankenpfl | • Qualitätsentwicklung und -sicherung in Ihrem Wohnbereich • Ausbildung zur examinierten Pflegefachkraft / Altenpfleger / Altenpflegerin / Krankenpfleger / Krankenpfl,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/parit%c3%84tisches-seniorenwohnen-ggmbh-102987/jobs,job-392,391
Care Worker Mobile Nursing Evening Shift,Home-Based Personal Care Workers (5322),5322,532,53,Home-based Personal Care Workers,Not specified,LOTUSLIFE GmbH,Long-term Care & Social Services,2026-06-10,Full-time,,"Provides basic personal care including body hygiene, dressing, mobilisation, and positioning of clients in their home environment during evening shifts (approximately 14:00–22:00), with documentation of care measures and light domestic support.",Empathy and enjoyment of care work; openness to innovative working methods; team spirit and reliability; basic nursing course (Pflegebasiskurs); driving licence; willingness to work evening shifts.,Not specified.,On-site,https://www.stepstone.de/stellenangebote--Pflegekraft-mwd-Wandlitz-mobile-Pflege-Spaetdienst-14-22-Uhr-Pflegeassistent-in-Altenpflege-Wandlitz-LOTUSLIFE-GmbH--14132974-inline.html,HEALTHCARE,Wandlitz,2026-06-19,,,,,"haltigkeit, die wir leben - ein motiviertes, wertschätzendes Team - Gehalt nach Qualifikation und Erfahrung Ihre Aufgaben Durchführung der Grundpflege (Körperpflege, An- und",,Mental Health & Rehabilitation,,job-393,392
Medical Assistant for Urology Practice,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,AOK Nordost. Die Gesundheitskasse.,Outpatient & Ambulatory Care,2026-06-10,Part-time,,"Receives and attends to patients at reception, provides pre- and post-treatment care, handles medical documentation, and organises daily practice operations in a urology outpatient setting.","Completed qualification as Medizinische/r Fachangestellte/r (MFA) or Arzthelfer/in with experience in medical practices; experience in urology procedures such as cystoscopy assistance, catheter care and changes, bladder instillations, and injections; knowledge of relevant practice management systems.",Stable career prospects with a significant healthcare employer; demanding full-time or part-time role (35–38.5 hours/week) in regional outpatient care for AOK-insured patients.,On-site,https://www.stepstone.de/stellenangebote--Medizinischer-Fachangestellter-m-w-d-fuer-urologische-Praxis-Berlin-AOK-Nordost-Die-Gesundheitskasse--14136464-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Fähigkeiten, die Sie einbringen Sie verfügen über einen Abschluss zum/zur medizinischen Fachangestellten (m/w/d) | Alternativ haben Sie einen Abschluss zum/zur Arzthelfer/in (m/w/d) mit Berufserfahrung in Arztpraxen | • Sie verfügen über einen Abschluss zum/zur medizinischen Fachangestellten (m/w/d)",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/aok-nordost-die-gesundheitskasse-192537/jobs,job-394,393
Nursing Professional for Adults with Cognitive Disabilities,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,DRK Behindertenhilfe Wedding/Prenzlauer Berg gGmbH,Long-term Care & Social Services,2026-06-10,Part-time,,"Advises colleagues on nursing questions and provides participation-oriented socio-pedagogical support to adults with cognitive disabilities, assisting with all practical, domestic, nursing, and social aspects of daily life to promote self-determined living, while creating individual care and participation plans and contributing to quality development.","Completed at least three-year vocational training in a (socio-)pedagogical or nursing profession with state recognition; ability to work independently and responsibly; resilience, flexibility, teamwork skills; good communication abilities.",Appropriate remuneration per in-house collective agreement (based on TV-L Berlin); annual bonus (80% of gross); shift allowance; 30 days annual leave plus additional leave; one additional recovery day per year; occupational pension via salary conversion.,On-site,https://www.stepstone.de/stellenangebote--Fachkraft-unbefristet-Gesundheits-Kranken-Altenpflege-und-Pflegefachpersonen-m-w-d-mit-bis-zu-39h-woechentlich-Berlin-DRK-Behindertenhilfe-Wedding-Prenzlauer-Berg-gGmbH--14062029-inline.html,HEALTHCARE,Berlin,2026-06-19,,Anerkennung,,,"menarbeit mit externen Kooperationspartnern Das bringen Sie mit: Abgeschlossene Berufsausbildung mit mind | hterstattung, Zusammenarbeit mit externen Kooperationspartnern • Abgeschlossene Berufsausbildung mit mind",,Residential & Long-Term Care,,job-395,394
Advisory Nursing Professional in Group Care Service,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Brandenburg,Oberlinhaus,Long-term Care & Social Services,2026-06-10,Part-time,,"Advises, accompanies, and trains staff to enable them to carry out nursing measures competently and independently, including guidance of non-nursing-qualified colleagues, and takes responsibility for nursing standards, care planning, documentation, hygiene concepts, and quality management processes for residents with disabilities.","Completed training as Pflegefachkraft or Gesundheits- und Krankenpfleger/in with at least two years of practical experience in a nursing-relevant field; commitment to quality care for people with disabilities; structured, empathetic, and engaged working style.",Varied work environment; attractive remuneration at pay grade 8 with progression based on experience; 13th monthly salary; 30–40 hours per week; immediate start in Potsdam.,On-site,https://www.stepstone.de/stellenangebote--Fachkraft-gn-im-Gruppendienst-als-beratende-Pflegefachkra-Pflegefachmann-frau-Ausbildung-Potsdam-Oberlinhaus--13951482-inline.html,HEALTHCARE,Potsdam,2026-06-19,,,,,,,Other Healthcare Providers,,job-396,395
Nursing Professional Outpatient Home Care,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Nachbarschaftsheim Schöneberg e.V.,Outpatient & Ambulatory Care,2026-06-10,Full-time,,"Carries out basic and treatment nursing care in patients' homes according to medical orders, including medication management, wound care, care documentation, and advising patients and relatives, in collaboration with physicians and therapists.","Completed training as Pflegefachkraft or Gesundheits-/Krankenpflegefachkraft; driving licence class B desirable or willingness to travel by bicycle or e-bike; reliable, independent, and responsible working style; competent and approachable manner.","Starting salary between €3,857.02 and €4,128.04/month full-time depending on qualification and experience, with possibility of higher grading; permanent contract; capital-forming benefits (VWL); occupational supplementary pension with 4.6% employer contribution.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-ambulante-Pflege-m-w-d-Pflegefachmann-frau-Gesundheits-und-Krankenpflege-Berlin-Nachbarschaftsheim-Schoeneberg-e-V--14132793-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Ihr Profil Ihr Profil- abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) oder Gesundheits-, Krankenpflegefachkraft (m/w/d) - | 128,04 € bei Vollzeit, abhängig von Ihrer Qualifikation und Berufserfahrung, mit der Möglichkeit einer höheren Einstufung - unbefristet | ion und Kooperation mit Ärzten, Therapeuten und anderen Beteiligten Ihr Profil- abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) oder Gesundheits-, Krankenpflegefachkraft (m/w/d) -",,Mental Health & Rehabilitation,,job-397,396
Dental Assistant Apprentice Orthodontics,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Cendenta GmbH,Outpatient & Ambulatory Care,2026-06-10,Full-time,,"Apprenticeship training as a Zahnmedizinische/r Fachangestellte/r (ZFA) in an orthodontic practice, covering assistance during orthodontic treatments, planning and preparation of treatment workflows, patient care, documentation, billing, and quality management.",Friendly manner and enjoyment of working with people; interest in dental topics; willingness to learn; careful and reliable working style; team orientation and curiosity.,Remuneration above tariff; permanent contract after apprenticeship; travel cost and childcare allowance; no weekend work; training and continuing education support; further company benefits.,On-site,https://www.stepstone.de/stellenangebote--Ausbildung-zum-zur-ZFA-Kieferorthopaedie-in-Berlin-Berlin-Deutschland-Cendenta-GmbH--13037201-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,,job-398,397
Nursing Professional Heart Failure Centre for Older Adults,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Sana Klinikum Lichtenberg,Hospitals & Acute Care,2026-06-10,Full-time,,"Provides specialised, individualised nursing care to older patients with heart failure, conducting structured assessments and progress monitoring, coordinating diagnostic and therapeutic measures, counselling patients and relatives, and maintaining digital documentation in an interdisciplinary hospital team.","Qualified nursing professional (examinierte Pflegefachkraft) with solid clinical experience; interest in cardiology, particularly heart failure; responsible, patient, and structured approach; clear and empathetic communication; enjoyment of interdisciplinary teamwork.","Base salary €3,475–€4,249/month plus annual performance-related pay; €150 hardship allowance, €350 shift allowance, and up to €300 additional via LohnPlus package; focus on professional nursing competence; individual continuing education and development opportunities.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-Herzinsuffizienz-Zentrum-im-Alter-Berlin-Lichtenberg-Sana-Klinikum-Lichtenberg--14005034-inline.html,HEALTHCARE,Berlin-Lichtenberg,2026-06-19,,,,,isch Du dokumentierst alle Maßnahmen sorgfältig und digital Dein Profil Du bist examinierte Pflegefachkraft und verfügst über solide klinische Erfahrung Du hast Interesse | • Du dokumentierst alle Maßnahmen sorgfältig und digital • Du bist examinierte Pflegefachkraft und verfügst über solide klinische Erfahrung,,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/sana-klinikum-lichtenberg-177735/jobs,job-399,398
Nursing Professional Residential Care,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Korian Deutschland GmbH,Long-term Care & Social Services,2026-06-10,Full-time,,"Carries out classic care home nursing tasks including medication administration, personal care, and digital documentation for residents, while maintaining trusted contact with relatives, physicians, and colleagues and providing professional guidance to auxiliary staff, trainees, and interns.",Completed training as an examined nursing professional (Pflegefachkraft); alternatively another completed vocational qualification in elderly or health and nursing care; high degree of empathy and respectful interpersonal conduct.,"Salary up to €4,594 gross/month (depending on pay grade) plus qualification allowance for a 39-hour week; loyalty bonuses; full coverage of continuing education costs with paid leave; diverse further training opportunities.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-w-m-d-Berlin-Korian-Deutschland-GmbH--10967426-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"reichert? Dann haben wir ein Stellenangebot für Dich: Komm zu uns und werde als examinierte Pflegefachkraft (w/m/d) Teil eines Teams, das Pflege liebt und lebt | Das bringst Du als examinierte Pflegekraft (w/m/d) mit Unsere Bewohner:innen liegen uns am Herzen | Anforderungen Abgeschlossene Ausbildung zur examinierten Pflegefachkraft (w/m/d) Alternativ eine andere abgeschlossene Berufsausbildun",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/korian-deutschland-gmbh-168064/jobs,job-400,399
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Korian Deutschland GmbH,Long-term Care & Social Services,2026-06-10,Full-time,,"Performs classic nursing duties in a residential care setting including medication administration, care activities, and digital documentation, while supervising auxiliary staff, trainees, and interns.",Completed state-registered nursing qualification (Pflegefachkraft) or equivalent qualification in elderly or general healthcare nursing; high level of empathy and respectful conduct.,"Full coverage of continuing education costs with paid leave, gross salary up to €4,594 per month (based on pay grade) plus qualification allowance for a 39-hour week, loyalty bonuses.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-w-m-d-Berlin-Korian-Deutschland-GmbH--10967484-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"reichert? Dann haben wir ein Stellenangebot für Dich: Komm zu uns und werde als examinierte Pflegefachkraft (w/m/d) Teil eines Teams, das Pflege liebt und lebt | Das bringst Du als examinierte Pflegekraft (w/m/d) mit Unsere Bewohner:innen liegen uns am Herzen | Anforderungen Abgeschlossene Ausbildung zur examinierten Pflegefachkraft (w/m/d) Alternativ eine andere abgeschlossene Berufsausbildun",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/korian-deutschland-gmbh-168064/jobs,job-401,400
Medical Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Elite Clinics Privatpraxis inh. Dr. Burak Gürel,Outpatient & Ambulatory Care,2026-06-10,Part-time,,"Provides front-desk patient reception and care coordination in an exclusive private aesthetic medicine practice, assists the medical team during treatments, and manages appointment scheduling and telephone services.","Well-groomed appearance, excellent interpersonal manners, strong service orientation, organisational talent, discretion, and resilience.","Work in an exclusive aesthetic medicine practice in a stylish environment on Kurfürstendamm, intensive onboarding and regular training opportunities, performance-based pay and flexible working hours, friendly and professional team.",On-site,https://www.stepstone.de/stellenangebote--Zertifizierte-r-Arzthelfer-in-Berlin-Elite-Clinics-Privatpraxis-inh-Dr-Burak-Guerel--13037956-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"tzung des Ärzteteams während der Behandlungen Vorbereitung der Behandlungsräume Qualifikation Gepflegtes Erscheinungsbild,ausgezeichnete Umgangsformen und ausgeprägte Servic",,Mental Health & Rehabilitation,,job-402,401
Medical Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Dr. med. Christoph Söllenböhmer Gastroenterologie im Westend,Outpatient & Ambulatory Care,2026-06-10,Full-time,,"Receives and cares for patients in a gastroenterology practice, assists the physician during examinations, manages patient data, and prepares and follows up on procedures and treatments.",Completed training as a Medizinische/r Fachangestellte/r (MFA); experience in a gastroenterology practice advantageous; friendly and professional manner; teamwork and organisational skills; enjoyment of working with patients.,"Job ticket, childcare subsidy, job bike, secure position in a dynamic and friendly team, fair remuneration with development opportunities, regular further training, modern practice facilities and equipment.",On-site,https://www.stepstone.de/stellenangebote--MFA-m-w-d-Berlin-Dr-med-Christoph-Soellenboehmer-Gastroenterologie-im-Westend--12915514-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,ng von Untersuchungen und Behandlungen Unterstützung des Arztes im Praxisalltag Qualifikation Abgeschlossene Ausbildung als Medizinische/r Fachangestellte/r (MFA) Erfahrung | • Unterstützung des Arztes im Praxisalltag • Abgeschlossene Ausbildung als Medizinische/r Fachangestellte/r (MFA),,Medical & Dental Practices,,job-403,402
